t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
4.33336,29.3371,9.59635,33.8809,13.4484,24.0101,8.99056,21.2915,27.968,12.7122,23.1467,41.102,12.1823,24.8186,31.3312,12.0443,0,543,0,0,0
4.4334,28.495,9.12704,33.6926,13.4643,23.3231,9.1086,21.9764,24.9749,12.6113,22.6836,39.3469,9.31434,24.1642,30.4926,5.70246,0,543,0,0,0
4.5334,27.3585,12.0491,36.8531,13.1778,28.0196,19.3288,22.3047,25.7733,11.2576,26.0119,37.1925,10.0311,25.6747,28.9024,11.1145,0,536,0,0,0
4.63339,28.1235,14.3512,40.0462,14.2508,30.1194,15.6152,20.2758,32.112,11.8851,22.4508,38.5306,14.6987,23.3586,29.3042,11.2093,0,526,0,0,0
4.7334,33.132,12.2468,36.5974,12.1102,31.9528,17.3813,17.7876,32.8394,10.836,22.8996,36.6378,14.7266,24.8308,27.6013,7.06643,0,524,0,0,0
4.83337,27.0388,11.5692,37.1712,13.8688,35.2154,18.6482,18.8382,30.2351,14.0124,21.3543,39.6317,16.6037,27.2059,27.3238,12.0607,0,522,0,0,0
4.93341,27.5081,12.5932,34.6847,15.134,34.3207,15.8277,22.8748,28.3273,11.255,22.4342,40.6599,11.671,28.0258,24.3947,2.64871,0,523,0,0,0
5.03345,29.5135,8.30909,33.7951,10.1688,45.849,20.6261,22.0347,29.2881,11.2517,23.9024,37.6957,13.4166,26.2704,24.338,9.32998,0,520,0,0,0
5.13344,26.0938,11.3319,33.3,9.19287,48.3234,19.9659,23.8107,29.1227,10.3893,24.5494,33.7775,12.9257,26.6446,26.4827,8.45109,0,519,0,0,0
5.23351,29.6771,16.6136,35.5901,9.74056,47.4139,22.4077,23.1294,27.034,11.4175,23.0842,38.3942,12.968,25.5823,35.4326,20.4365,0,514,0,0,0
5.33341,28.4113,13.2332,36.6743,10.5268,47.4139,23.9348,24.613,28.9626,12.2153,21.9628,39.1757,13.6929,25.911,29.1313,10.1911,2,0,0,0,0
5.43344,27.3043,13.5885,33.0054,8.92823,45.251,24.3512,25.9627,27.8016,12.719,22.9875,39.7279,14.6629,25.7977,31.8624,10.7431,0,518,0,0,0
5.53345,31.7189,10.0482,36.1513,5.76718,52.2852,27.8783,22.9813,29.3708,11.97,22.296,35.6619,14.1878,24.5752,28.9074,8.01319,0,521,0,0,0
5.63344,31.3023,10.5549,30.2252,9.81883,50.5727,27.2937,23.8178,28.681,13.8986,23.7717,34.6784,14.6863,23.8246,33.5019,16.5783,0,536,0,0,0
5.73345,31.0427,10.3708,31.6259,11.0036,48.7468,23.8057,24.4465,26.5963,13.9354,21.9722,40.3838,14.6726,24.5045,28.6981,11.654,0,546,0,0,0
5.83345,23.5437,11.0753,37.9639,10.4684,49.5609,18.9421,25.2723,24.48,12.1627,23.3673,40.9059,12.3867,23.0458,32.8436,14.1583,0,547,0,0,0
5.93345,27.7324,13.6316,36.7566,13.4023,37.1577,15.9617,20.4836,30.5954,12.9455,20.9422,43.0801,10.5285,25.8256,27.7643,11.4284,0,552,0,0,0
6.03346,27.6787,13.3476,36.84,13.9592,31.7094,19.3568,20.4836,29.1282,16.6238,21.8496,42.0802,16.7713,25.0142,33.2234,13.4355,0,559,0,0,0
6.13347,33.0017,11.0675,35.2053,14.1632,27.5381,15.5467,20.6197,31.2027,11.1792,20.3361,40.3732,12.9798,22.2135,35.3853,11.4486,0,563,0,0,0
6.23349,31.5678,17.1151,38.104,15.8267,28.3665,9.5394,21.8349,30.8505,11.1815,20.9358,40.3471,13.6452,23.4069,32.6238,17.6766,0,565,0,0,0
6.33349,29.9575,12.7438,35.7165,16.4613,23.6496,9.25508,22.4548,29.3308,8.1865,21.1996,42.5003,14.0959,21.7622,39.8677,16.9956,0,573,0,0,0
6.43347,27.3624,10.1993,34.3728,16.9107,17.742,6.60276,21.2492,29.8645,13.5642,22.5711,40.55,13.351,22.5655,36.5352,14.4157,0,577,0,0,0
6.53346,24.2106,13.1162,34.3838,17.5991,16.2543,7.69475,23.9177,27.0928,11.3729,23.9344,40.3743,14.1185,25.0353,37.027,17.176,0,579,0,0,0
6.63351,30.7817,13.6595,37.9447,16.0244,12.7155,5.10241,23.7364,27.2038,9.98162,25.9965,38.6584,11.1375,23.6907,34.5905,8.06735,0,584,0,0,0
6.7335,31.4592,13.2825,35.8465,13.4984,8.99018,6.02001,21.5593,29.8623,14.6934,23.1049,38.3836,11.5705,22.0363,37.7458,11.9204,0,586,0,0,0
6.83352,31.0669,13.0571,33.8138,9.66677,11.0921,10.5822,20.1164,30.2863,9.97775,25.7323,37.0125,7.73092,24.9321,35.1998,8.06735,0,588,0,0,0
6.93356,31.1141,14.4265,37.1782,12.4694,7.82337,9.51736,23.119,26.6557,12.5329,25.7844,38.6984,8.30238,24.1739,34.692,7.90303,0,589,0,0,0
7.0335,27.2824,11.6437,37.8533,10.06,6.1886,8.08701,22.9527,28.5355,12.24,27.7383,36.0208,11.1334,24.1684,35.9226,9.9167,0,587,0,0,0
7.13353,27.8702,8.02222,32.5095,8.33072,6.89702,7.79689,19.6615,31.819,11.1641,26.5144,36.9794,11.1944,23.536,38.9291,17.1405,0,587,0,0,0
7.23353,26.0609,10.8203,32.2123,7.90894,7.47936,6.6915,19.9575,32.6289,11.871,25.964,35.8407,12.312,23.6803,35.781,6.97389,0,586,0,0,0
7.33353,32.1911,11.9849,34.943,9.09897,7.44553,8.9572,22.0099,30.1391,10.3533,25.2447,40.5756,10.871,24.6448,40.8483,10.9259,0,584,0,0,0
7.43355,33.0958,18.3803,36.5378,7.32521,9.71172,8.2545,20.0126,31.6307,11.7483,24.1883,40.7056,9.43995,25.3944,42.3414,23.2999,0,576,0,0,0
7.53356,30.2622,12.7434,36.1657,8.49084,7.28421,8.35826,21.8013,29.5525,10.9845,26.2721,35.5521,12.312,26.4447,22.4229,11.9785,0,568,0,0,0
7.63353,27.5885,9.22879,34.0236,9.74838,6.12615,9.86199,22.5371,29.9829,10.7526,26.395,36.7426,11.1922,26.2979,33.944,10.6966,0,557,0,0,0
7.73356,30.1431,10.8842,30.7101,9.20084,7.27976,8.55796,20.7831,29.3161,14.0965,27.3281,36.47,11.8757,24.6909,34.3662,11.9242,0,551,0,0,0
7.83357,33.5252,11.7364,32.512,10.8654,11.6252,7.137,21.3277,27.2621,11.499,23.5311,41.3031,13.2648,23.5314,35.6529,13.8611,0,545,0,0,0
7.93358,26.0056,11.5802,32.821,13.0542,14.7635,8.54589,24.0244,29.6674,7.53332,26.9514,35.1304,12.9815,24.9469,33.3519,13.4199,0,543,0,0,0
8.03363,30.6054,14.5242,36.2799,15.7474,19.5215,10.6151,22.4466,28.2978,13.5665,23.2757,39.2297,13.3472,23.5416,41.9243,22.6015,2,0,0,0,0
8.13357,30.627,10.0134,29.3858,13.4368,25.9494,9.69296,20.1411,32.1826,10.8517,21.5767,43.5004,13.4349,23.4817,29.0706,11.7528,0,536,0,0,0
8.23361,30.4887,13.3983,37.569,14.1484,25.6604,12.6423,20.9888,28.5837,10.1646,21.7949,42.1245,13.4281,22.2099,38.702,21.7441,0,535,0,0,0
8.3336,34.1503,13.8179,37.0223,14.9039,26.2885,15.2066,20.5043,29.5664,13.0469,20.0553,42.4056,17.4365,23.6512,34.1646,14.4534,0,528,0,0,0
8.4336,32.6922,14.7892,37.6811,12.7458,34.7584,15.4503,19.4044,30.3479,11.8694,18.8147,41.5429,12.28,20.7598,33.8775,9.93497,0,528,0,0,0
8.53362,34.8418,9.43084,34.2469,13.3579,38.7655,12.9623,22.3907,28.5703,9.73182,21.765,40.0967,14.1317,23.0087,42.47,28.32,0,526,0,0,0
8.6336,33.0454,18.3945,33.138,12.3397,39.3022,16.6554,18.9035,29.6884,9.7486,20.304,42.3667,14.3949,23.02,28.4691,7.47893,0,522,0,0,0
8.73359,34.2361,14.9846,31.1716,11.5958,43.8877,18.0504,20.3342,30.8415,8.79963,21.7858,40.4597,11.5282,22.2639,34.9097,11.9144,0,523,0,0,0
8.83362,31.1023,14.0025,35.3072,10.5248,43.3069,22.5242,19.1523,28.8887,11.9745,20.738,40.7518,14.6857,23.2023,34.9097,13.8835,0,526,0,0,0
8.93365,28.499,10.9021,33.0195,11.3559,44.1299,22.6322,18.8818,32.6606,11.2533,22.2951,41.9952,14.1009,24.4441,33.5825,15.9675,0,522,0,0,0
9.03364,31.1575,10.6693,30.7193,8.53804,45.636,22.9455,19.4829,33.2718,12.0625,20.9323,43.2095,14.1009,24.21,31.3061,13.5847,0,522,0,0,0
9.13366,30.6446,13.3087,36.5064,12.7311,41.9621,23.33,20.6784,29.2385,9.4623,22.1517,43.695,12.8001,23.7981,32.8039,9.23537,0,530,0,0,0
9.23366,33.7848,16.2462,32.6854,10.7654,45.8747,18.5743,19.4392,29.2385,9.05528,22.2202,38.1483,12.3849,25.0054,32.9689,14.6847,0,533,0,0,0
9.33366,32.5291,12.5897,34.8583,10.5915,46.6067,23.6743,22.4156,29.2658,10.0039,19.8466,45.1968,16.8579,23.5105,30.3764,6.33804,0,542,0,0,0
9.43366,27.1302,13.2609,32.3576,13.3462,45.3269,18.7887,23.2557,27.7904,12.5201,22.3,40.8278,13.5042,23.5919,31.1701,14.4048,0,0,0,0,0
9.53367,29.3738,9.1957,31.3504,10.7364,43.4007,20.9221,20.5285,32.3082,8.35309,22.2974,42.0443,11.6514,25.4324,33.0597,15.9913,0,551,0,0,0
9.63371,34.1428,17.4718,37.2161,14.1933,36.14,15.7377,22.1432,29,9.33116,19.6747,44.5028,11.6313,24.3209,25.4114,7.03834,0,0,0,0,0
9.73365,33.1247,17.4479,40.2138,14.1934,33.6772,13.1859,19.3679,30.9963,7.87646,19.6373,43.534,14.0959,24.1554,24.0985,11.1661,0,550,0,0,0
9.83372,35.0679,12.9599,33.451,13.2188,31.5774,15.7979,18.7692,30.9898,12.6191,20.4181,42.7932,14.0959,23.2751,32.0688,14.0509,0,555,0,0,0
9.9337,31.3519,13.2636,35.8203,13.8606,31.419,18.1866,18.5806,31.5007,12.1752,21.6711,36.4802,16.6558,24.4123,29.4336,9.05931,0,557,0,0,0
10.0337,29.641,14.1862,37.328,13.0925,28.2663,15.4703,22.7069,27.8056,12.5219,24.3968,37.4664,14.7185,24.2228,33.509,13.6574,0,561,0,0,0
10.1338,32.504,14.0689,32.4509,13.6557,25.079,11.4449,20.1866,29.6935,12.1663,22.5059,38.8045,13.7407,25.4322,32.2307,10.7565,0,565,0,0,0
10.2337,29.5656,14.6686,35.5379,14.4092,24.3301,10.93,21.3234,28.5481,10.1813,24.4059,38.2737,11.5235,24.0248,39.7585,19.1466,0,567,0,0,0
10.3337,29.6724,14.1551,31.9186,14.528,23.2909,9.71761,24.1046,26.0208,12.8178,24.102,41.9756,12.0069,24.3348,40.7272,22.6165,0,567,0,0,0
10.4337,26.6925,12.6472,30.1848,13.3316,21.5957,9.29864,22.38,26.7285,10.8519,24.5331,39.4692,12.9201,23.0912,42.2429,20.4908,0,573,0,0,0
10.5337,30.7744,12.4379,30.8261,14.3076,16.3814,5.59371,24.2821,26.7044,15.3224,25.1625,37.7551,11.1638,25.8131,28.7652,10.5515,0,577,0,0,0
10.6337,29.592,14.8906,28.6566,16.7136,16.6695,4.18151,24.1911,25.6058,10.6409,26.0232,38.4602,12.3586,23.6166,36.1783,9.13385,0,578,0,0,0
10.7338,35.3537,9.79805,28.0954,14.5836,13.8226,10.1297,23.7678,26.2983,8.13658,25.6783,38.6232,13.2267,27.0188,31.5466,11.4782,0,581,0,0,0
10.8337,29.2947,16.4219,30.285,12.5788,12.8931,6.7697,20.6844,31.4489,10.2601,23.2456,42.424,11.1787,25.0007,29.588,7.1339,0,584,0,0,0
10.9338,31.0322,18.5417,36.4111,13.747,11.2015,5.51586,23.8567,26.9315,10.1772,23.9037,43.6221,12.5103,24.6555,31.2108,7.13625,0,586,0,0,0
11.0338,31.9003,17.0211,36.8293,11.431,10.88,4.87965,22.5377,30.5209,8.81918,23.0105,40.8152,10.132,23.2181,35.8207,13.4391,0,587,0,0,0
11.1338,35.9018,11.0185,31.9002,11.8773,9.81264,7.45443,20.6785,28.9506,12.7207,25.434,39.852,8.19534,24.5166,27.9301,9.43543,0,591,0,0,0
11.2339,28.1028,8.80909,32.5056,10.728,9.2726,6.1581,17.4979,33.8732,10.8198,25.6278,37.3217,12.6399,23.9946,35.7149,13.2223,0,591,0,0,0
11.3338,30.1326,12.0354,34.6073,7.79394,7.27439,7.67243,21.6436,31.003,12.0667,25.7855,36.5592,10.6647,24.3149,35.8684,7.91519,0,593,0,0,0
11.4338,28.2426,14.1985,33.762,9.12948,7.29317,6.26359,20.6736,29.8772,13.4754,25.9015,39.5487,12.9808,25.2969,32.3555,10.2704,0,591,0,0,0
11.5338,28.418,9.90476,32.5649,7.09379,8.61155,8.33421,20.5794,30.8603,13.1116,25.6901,36.8082,11.074,24.2975,35.6266,18.2203,0,588,0,0,0
11.6338,27.6934,10.5647,28.787,7.99321,8.53775,9.28243,20.7063,31.4803,12.6798,25.3362,40.2074,12.9717,25.0444,33.9667,9.53584,0,584,0,0,0
11.7338,29.2445,10.0475,34.2074,8.47174,7.46707,4.16361,20.9516,31.4021,12.2027,25.4856,40.2074,14.796,26.2859,30.4372,7.03619,0,578,0,0,0
11.8338,26.6657,8.86952,32.5955,8.34345,7.91129,6.96506,22.4489,29.2408,13.4795,25.9015,38.1481,11.8754,22.6855,34.3116,12.5379,0,574,0,0,0
11.9338,25.8892,11.7466,34.5496,8.52334,9.641,8.10095,19.9806,33.7549,10.2952,25.0111,37.9989,13.6001,23.9796,37.116,14.427,0,566,0,0,0
12.0338,29.566,15.4193,36.5425,9.12359,10.099,8.67061,20.8763,31.4021,12.2027,25.223,39.3739,14.7331,22.7375,40.5755,18.8415,0,553,0,0,0
12.1338,32.9887,11.4829,32.2165,11.7173,11.2436,8.07723,23.9514,28.5946,12.2572,25.5355,46.5838,21.1133,24.411,29.4022,7.14378,0,547,0,0,0
12.2338,27.6089,13.3927,37.0021,10.2887,18.3737,6.01363,21.5965,31.7286,8.4171,24.1836,39.4621,12.9254,22.651,35.6403,5.69413,2,0,0,0,0
12.3338,27.9139,16.0526,33.6539,11.1184,24.171,8.85164,23.7219,26.2258,12.5231,25.1539,34.789,14.0955,24.2657,32.1192,9.55847,2,0,0,0,0
12.4338,30.7476,15.8975,37.4299,12.6734,28.0679,12.1619,22.3825,32.6256,8.48959,23.6002,40.0775,8.59161,23.0586,30.2795,10.4716,0,536,0,0,0
12.5338,33.0115,16.5102,34.2937,11.284,28.3917,12.416,20.4475,29.3288,14.5223,21.0229,39.1173,18.4006,23.1346,31.4547,14.3997,0,533,0,0,0
12.6338,37.8855,13.7897,30.2894,11.072,34.0294,14.8566,21.2603,31.7641,10.7553,22.6716,41.4138,16.7903,21.3637,34.0154,9.94455,0,528,0,0,0
12.7339,34.6427,18.3717,33.0104,13.578,35.2878,13.4718,22.3864,28.0003,13.0443,18.9851,45.6576,12.4911,22.7823,33.9181,14.5139,0,2,0,0,0
12.8339,35.2494,13.0319,29.4011,13.1351,36.9466,16.4773,21.0838,31.7413,8.81461,22.9702,38.4971,16.7904,24.2445,25.4505,11.8301,0,522,0,0,0
12.9339,36.5812,13.4598,28.4284,11.6251,38.3207,19.3903,19.7426,29.9643,9.72574,19.1305,41.1011,10.5156,21.995,26.569,4.76524,0,522,0,0,0
13.0338,35.4623,17.5335,32.0871,11.9534,43.7598,22.6271,20.1934,29.1967,9.44017,20.8734,41.8819,11.653,23.5711,22.585,10.5676,0,521,0,0,0
13.1339,33.3,15.2842,30.4556,11.8578,42.4777,21.2741,20.9748,28.6118,11.7207,20.4375,43.1946,12.8823,23.7104,24.0783,10.8087,0,521,0,0,0
13.2339,34.0325,16.2762,25.744,9.9755,44.0279,23.215,18.9288,31.5391,9.33037,17.56,44.6185,12.5202,21.1183,30.7227,8.3067,0,519,0,0,0
13.3339,32.1404,18.4533,32.0178,12.2348,44.8556,24.8761,23.8783,30.1813,12.9037,20.4011,41.8461,17.4559,22.613,30.4093,12.7317,0,520,0,0,0
13.4339,32.6048,14.6656,29.7591,9.57551,50.6978,28.9191,23.8274,31.5219,14.6927,22.2149,38.0206,12.9946,23.989,29.9585,10.4773,0,521,0,0,0
13.5339,36.0167,11.5005,27.5434,10.8164,46.5258,29.4003,25.8547,26.7367,11.7689,23.6053,35.8201,18.1097,25.9703,27.782,6.63918,0,519,0,0,0
13.6339,34.2276,20.6629,32.3667,7.30612,51.7077,27.701,27.7152,33.2168,13.8067,20.7723,38.6649,14.0988,23.3733,26.3253,7.65588,0,523,0,0,0
13.7339,34.1799,16.6769,29.9668,9.88488,46.9734,28.9682,24.8775,29.6137,11.136,20.184,38.8875,14.6995,22.3127,29.607,13.8164,0,2,0,0,0
13.8339,32.5811,17.0246,31.4727,9.16873,50.6335,24.2776,23.8716,29.4347,9.99435,20.6524,39.8614,10.8525,21.7138,33.1687,12.021,0,533,0,0,0
13.9339,32.2281,15.2449,29.3425,11.999,44.8195,20.7362,25.4645,31.7723,12.6582,20.6265,44.6209,15.1568,22.286,32.0162,12.1459,0,537,0,0,0
14.0339,33.6753,16.6477,28.5915,10.4143,42.0084,18.5635,21.2873,31.2146,10.2448,18.0838,46.3479,11.5391,24.048,25.6209,11.0486,0,541,0,0,0
14.1339,35.9074,21.0601,34.4433,14.1869,39.7215,14.3636,23.1911,29.0244,10.133,19.1703,44.4886,12.3198,24.7099,26.1114,9.0339,0,546,0,0,0
14.2339,36.6684,11.957,28.0223,13.3256,35.7774,17.4345,20.4984,30.643,8.79654,22.3711,39.3697,16.0694,22.4148,30.5602,5.22836,0,548,0,0,0
14.334,37.4538,14.4547,29.414,13.8243,38.1563,16.3796,20.3345,31.6985,11.1814,18.7919,46.6389,13.7925,22.8549,28.4909,6.54167,0,552,0,0,0
14.434,37.5456,18.135,30.292,13.7503,32.9741,11.641,21.0297,30.3448,7.87322,21.7844,42.1189,11.6499,21.1785,30.9241,7.05302,0,556,0,0,0
14.534,35.583,17.1938,31.279,14.0693,29.4984,11.1027,21.1978,28.3535,12.7982,19.4864,43.4868,13.1727,22.5959,30.314,13.1632,0,559,0,0,0
14.634,34.789,13.857,28.2986,14.2308,26.8412,13.0772,23.1226,27.3026,11.1627,23.029,39.7811,15.98,23.8388,27.5449,13.8402,0,564,0,0,0
14.7339,36.1214,11.9369,29.8712,16.1983,19.4959,10.7977,19.9217,32.0945,11.4687,22.2084,39.7168,13.1147,22.5225,32.6195,14.1386,0,571,0,0,0
14.834,33.261,11.4954,27.506,18.0844,19.4112,10.3786,22.855,28.8938,11.8006,24.6461,37.2682,16.5856,24.1525,33.208,14.1386,0,574,0,0,0
14.934,31.799,16.9533,34.34,15.3228,15.4921,8.40986,21.9368,28.8938,11.8006,23.6927,40.2465,9.81412,23.8766,33.2251,5.53823,0,575,0,0,0
15.034,37.7249,16.4894,31.1119,16.8143,13.6471,9.81411,22.8055,27.4467,12.6962,24.5573,39.7023,15.6097,25.1131,31.1316,9.96976,0,578,0,0,0
15.134,29.0848,15.6309,28.1608,13.8331,11.483,7.69053,20.9713,29.3368,14.3697,24.5189,39.608,15.5791,24.3682,34.6401,15.0548,0,580,0,0,0
15.234,33.6195,14.5721,29.3192,14.3741,6.9602,8.84778,21.2268,28.4573,16.5552,25.6496,41.1828,12.5301,22.4171,33.6882,5.6893,0,584,0,0,0
15.334,31.2286,17.5309,25.8982,13.0467,10.6057,7.74217,20.074,31.4839,10.0454,24.5899,41.5152,11.1646,23.082,38.617,18.5974,0,587,0,0,0
15.434,31.4084,16.3458,27.2851,9.89885,10.6238,7.16451,19.3276,31.9792,13.1397,25.7425,37.0948,15.2901,25.0716,34.0669,6.99457,0,585,0,0,0
15.534,34.2612,19.7971,31.5789,9.95454,5.93633,7.42508,21.368,30.7859,11.2959,25.7074,40.2302,13.2926,26.367,35.5968,13.9184,0,587,0,0,0
